symbol,date,open,high,low,close,change,changePercent,label
MSFT,2024-05-03,402.28,407.15,401.86,406.66,4.38,1.09,"May 03, 24"
MSFT,2024-05-02,397.66,399.93,394.65,397.84,0.18,0.0452648,"May 02, 24"
MSFT,2024-05-01,392.61,401.72,390.31,394.94,2.33,0.59346,"May 01, 24"
MSFT,2024-04-30,401.49,402.16,389.17,389.33,-12.16,-3.03,"April 30, 24"
MSFT,2024-04-29,405.25,406.32,399.19,402.25,-3,-0.74028,"April 29, 24"
MSFT,2024-04-26,412.17,413,405.76,406.32,-5.85,-1.42,"April 26, 24"
MSFT,2024-04-25,394.03,399.89,388.03,399.04,5.01,1.27,"April 25, 24"
MSFT,2024-04-24,409.56,412.47,406.78,409.06,-0.5,-0.12208,"April 24, 24"
MSFT,2024-04-23,404.24,408.2,403.06,407.57,3.33,0.82377,"April 23, 24"
MSFT,2024-04-22,400.08,402.85,395.75,400.96,0.88,0.21996,"April 22, 24"
MSFT,2024-04-19,404.03,405.48,397.77,399.12,-4.91,-1.22,"April 19, 24"
MSFT,2024-04-18,410.63,411.89,403.95,404.27,-6.36,-1.55,"April 18, 24"
MSFT,2024-04-17,417.25,418.88,410.33,411.84,-5.41,-1.3,"April 17, 24"
MSFT,2024-04-16,414.57,418.4,413.73,414.58,0.01,0.00241214,"April 16, 24"
MSFT,2024-04-15,426.6,426.82,413.43,413.64,-12.96,-3.04,"April 15, 24"
MSFT,2024-04-12,424.05,425.18,419.77,421.9,-2.15,-0.50702,"April 12, 24"
MSFT,2024-04-11,425.82,429.37,422.36,427.93,2.11,0.49551,"April 11, 24"
MSFT,2024-04-10,422.19,424.03,419.7,423.26,1.07,0.25344,"April 10, 24"
MSFT,2024-04-09,426.44,427.74,421.62,426.28,-0.16,-0.03751993,"April 09, 24"
MSFT,2024-04-08,425.17,427.28,423.3,424.59,-0.58,-0.13642,"April 08, 24"
MSFT,2024-04-05,420.01,426.51,418.32,425.52,5.51,1.31,"April 05, 24"
MSFT,2024-04-04,424.99,428.67,417.57,417.88,-7.11,-1.67,"April 04, 24"
MSFT,2024-04-03,419.73,423.26,419.09,420.45,0.72,0.17154,"April 03, 24"
MSFT,2024-04-02,420.11,422.38,417.84,421.44,1.33,0.31658,"April 02, 24"
